Time Matrix for VRPTW-Hakata-PaperStyle-20-01
Unit: seconds
Size: 21x21

0.00	54.74	461.68	79.08	82.60	394.34	140.30	438.58	214.27	51.89	25.50	427.29	475.87	19.84	351.63	64.33	48.47	10.07	8.27	125.35	31.85
71.43	0.00	18.30	199.91	53.86	34.33	207.20	42.03	30.47	153.99	150.21	39.87	40.38	82.02	78.77	307.72	275.62	181.69	33.32	11.27	294.60
462.09	11.42	0.00	18.32	19.92	103.18	28.97	143.79	57.20	10.46	5.57	82.78	235.45	6.14	86.37	11.60	9.69	104.86	16.94	27.61	9.59
98.04	195.66	27.91	0.00	23.17	51.83	143.06	62.07	41.20	63.14	20.69	59.10	61.34	1.23	91.92	73.90	62.59	13.17	0.52	14.17	39.90
102.42	55.34	30.35	23.17	0.00	56.15	150.95	66.72	42.78	63.68	17.87	63.61	66.61	1.29	89.12	77.45	67.77	14.24	0.56	14.24	42.27
392.22	26.25	119.44	41.68	45.15	0.00	66.67	89.43	132.95	24.14	12.75	140.78	185.91	10.29	195.44	32.00	14.27	181.33	29.68	63.12	14.09
185.99	207.20	47.45	145.78	155.90	89.04	0.00	109.12	79.39	401.79	134.50	103.49	104.72	2.30	206.32	344.94	299.08	22.77	0.93	29.46	326.51
378.20	27.92	166.44	43.35	46.57	105.91	71.06	0.00	111.24	25.87	13.43	208.47	165.90	12.70	200.85	33.74	17.30	224.79	36.86	66.35	16.42
214.27	23.35	70.45	33.23	34.50	134.17	59.93	130.02	0.00	22.24	10.81	120.69	167.09	8.40	146.43	27.29	20.79	122.19	3.53	53.07	13.56
77.14	153.99	19.15	74.56	75.49	36.03	780.87	44.43	33.05	0.00	95.97	42.09	42.31	0.95	88.66	220.60	183.80	9.23	0.38	12.47	206.00
36.08	118.26	9.45	25.17	23.41	17.69	200.91	21.56	15.34	95.97	0.00	20.47	20.84	41.51	194.21	164.77	156.80	105.97	17.02	5.60	161.21
427.29	30.56	102.12	47.69	51.32	140.78	77.76	208.17	120.69	28.27	14.73	0.00	266.12	13.08	221.52	37.00	18.33	230.09	37.63	72.81	18.11
410.66	26.82	202.81	42.85	46.50	161.08	68.09	165.62	143.50	24.62	13.07	280.82	0.00	11.91	201.49	32.78	15.45	213.00	35.07	64.70	15.85
22.39	1.02	5.28	1.49	1.57	7.79	2.62	9.63	9.47	0.97	0.48	9.84	12.09	0.00	49.74	110.49	116.12	33.19	17.76	1.32	86.09
336.76	61.66	101.94	75.62	73.25	188.25	160.18	222.74	140.19	61.11	26.85	212.52	223.56	58.98	0.00	167.51	171.55	35.80	27.27	20.44	96.67
86.82	307.72	10.16	73.90	77.45	12.91	344.94	52.75	36.80	220.60	135.05	50.12	51.33	125.25	167.51	0.00	72.03	67.86	73.59	5.08	27.14
47.24	275.62	10.10	62.59	67.77	12.94	299.08	15.69	20.25	183.80	129.74	16.49	18.66	132.11	171.55	72.03	0.00	18.68	113.37	2.70	60.75
10.11	181.69	106.57	13.17	14.24	161.96	21.18	201.04	108.81	7.68	88.01	204.28	254.98	37.51	35.80	67.86	36.61	0.00	24.40	0.58	54.73
14.59	0.66	12.83	0.98	1.04	18.66	1.68	23.04	6.19	0.62	0.31	23.59	28.79	13.39	34.28	79.13	81.87	38.12	0.00	0.85	62.66
125.35	24.76	33.93	34.53	35.54	63.30	63.66	76.61	53.07	23.72	11.36	72.81	74.72	1.82	34.56	5.87	4.22	0.88	0.74	0.00	2.87
30.92	294.60	8.39	39.90	42.27	10.76	326.51	18.48	13.15	206.00	132.60	13.72	17.86	97.23	96.67	27.14	60.75	54.73	58.81	1.79	0.00
